,id,content,date,Time,Date,negative_prob,positive_prob,outcome
43,9.61672e+17,i will be meeting with henry kissinger at 145pm will be discussing north korea china and the middle east,2018-02-08 15:44:00,15:44:00,2018-02-08,0.9996123,0.0003876991,-1
44,9.65203e+17,i never said russia did not meddle in the election i said it may be russia or china or another country or group or it may be a 400 pound genius sitting in bed and playing with his computer the russian hoax was that the trump campaign colluded with russia  it never did,2018-02-18 09:33:00,09:33:00,2018-02-18,0.9826148,0.017385202,-1
45,9.71403e+17,china has been asked to develop a plan for the year of a one billion dollar reduction in their massive trade deficit with the united states our relationship with china has been a very good one and we look forward to seeing what ideas they come back with we must act soon,2018-03-07 12:10:00,12:10:00,2018-03-07,0.9648263,0.03517367,-1
46,9.72506e+17,chinese president xi jinping and i spoke at length about the meeting with kim jong un of north korea president xi told me he appreciates that the us is working to solve the problem diplomatically rather than going with the ominous alternative china continues to be helpful,2018-03-10 13:15:00,13:15:00,2018-03-10,0.99823666,0.0017633287,-1
47,9.78939e+17,received message last night from xi jinping of china that his meeting with kim jong un went very well and that kim looks forward to his meeting with me in the meantime and unfortunately maximum sanctions and pressure must be maintained at all cost,2018-03-28 08:16:00,08:16:00,2018-03-28,0.99965084,0.00034915155,-1
48,9.81492e+17,we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who represented the us now we have a trade deficit of 500 billion a year with intellectual property theft of another 300 billion we cannot let this continue,2018-04-04 09:22:00,09:22:00,2018-04-04,0.99829906,0.0017010124,-1
49,9.81882e+17,the fake news washington post amazons chief lobbyist has another of many phony headlines trump defiant as china adds trade penalties wrong should read trump defiant as us adds trade penalties will end barriers and massive ip theft typically bad reporting,2018-04-05 11:10:00,11:10:00,2018-04-05,0.99998856,1.1475857e-05,-1
50,9.82265e+17,china which is a great economic power is considered a developing nation within the world trade organization they therefore get tremendous perks and advantages especially over the us does anybody think this is fair we were badly represented the wto is unfair to us,2018-04-06 12:32:00,12:32:00,2018-04-06,0.7617517,0.2382483,-1
51,9.8268e+17,the united states hasnt had a trade surplus with china in 40 years they must end unfair trade take down barriers and charge only reciprocal tariffs the us is losing 500 billion a year and has been losing billions of dollars for decades cannot continue,2018-04-07 16:03:00,16:03:00,2018-04-07,0.85986227,0.14013776,-1
52,9.82954e+17,president xi and i will always be friends no matter what happens with our dispute on trade china will take down its trade barriers because it is the right thing to do taxes will become reciprocal  a deal will be made on intellectual property great future for both countries,2018-04-08 10:12:00,10:12:00,2018-04-08,0.9988856,0.0011144611,-1
53,9.83284e+17,when a car is sent to the united states from china there is a tariff to be paid of 2 12 when a car is sent to china from the united states there is a tariff to be paid of 25 does that sound like free or fair trade no it sounds like stupid trade  going on for years,2018-04-09 08:03:00,08:03:00,2018-04-09,0.9995364,0.00046359372,-1
54,9.83774e+17,very thankful for president xi of chinas kind words on tariffs and automobile barriersalso his enlightenment on intellectual property and technology transfers we will make great progress together,2018-04-10 16:30:00,16:30:00,2018-04-10,0.99931633,0.0006836867,-1
55,9.84018e+17,so much fake news about what is going on in the white house very calm and calculated with a big focus on open and fair trade with china the coming north korea meeting and of course the vicious gas attack in syria feels great to have bolton  larry k on board i we are,2018-04-11 08:38:00,08:38:00,2018-04-11,0.9894554,0.010544633,-1
56,9.85858e+17,russia and china are playing the currency devaluation game as the us keeps raising interest rates not acceptable,2018-04-16 10:31:00,10:31:00,2018-04-16,0.9999423,5.7699446e-05,-1
57,9.89834e+17,please do not forget the great help that my good friend president xi of china has given to the united states particularly at the border of north korea without him it would have been a much longer tougher process,2018-04-27 09:50:00,09:50:00,2018-04-27,0.98979014,0.010209806,-1
58,9.91271e+17,delegation heading to china to begin talks on the massive trade deficit that has been created with our country very much like north korea this should have been fixed years ago not now same with other countries and naftabut it will all get done great potential for usa,2018-05-01 09:00:00,09:00:00,2018-05-01,0.6265022,0.37349775,-1
59,9.91645e+17,there was no collusion it is a hoax and there is no obstruction of justice that is a setup  trap what there is is negotiations going on with north korea over nuclear war negotiations going on with china over trade deficits negotiations on nafta and much more witch hunt,2018-05-02 09:45:00,09:45:00,2018-05-02,0.99809605,0.0019039923,-1
60,9.9181e+17,this isnt some game you are screwing with the work of the president of the united states john dowd march 2018 with north korea china the middle east and so much more there is not much time to be thinking about this especially since there was no russian collusion,2018-05-02 20:40:00,20:40:00,2018-05-02,0.984026,0.01597397,-1
61,9.91886e+17,our great financial team is in china trying to negotiate a level playing field on trade i look forward to being with president xi in the not too distant future we will always have a good great relationship,2018-05-03 01:45:00,01:45:00,2018-05-03,0.99870884,0.0012911827,-1
62,9.92562e+17,our high level delegation is on the way back from china where they had long meetings with chinese leaders and business representatives we will be meeting tomorrow to determine the results but it is hard for china in that they have become very spoiled with us trade wins,2018-05-04 22:31:00,22:31:00,2018-05-04,0.9990926,0.0009074602,-1
63,9.93813e+17,i will be speaking to my friend president xi of china this morning at 830 the primary topics will be trade where good things will happen and north korea where relationships and trust are building,2018-05-08 09:22:00,09:22:00,2018-05-08,0.99960345,0.00039658335,-1
64,9.9568e+17,president xi of china and i are working together to give massive chinese phone company zte a way to get back into business fast too many jobs in china lost commerce department has been instructed to get it done,2018-05-13 13:01:00,13:01:00,2018-05-13,0.9995153,0.00048472686,-1
65,9.95746e+17,china and the united states are working well together on trade but past negotiations have been so one sided in favor of china for so many years that it is hard for them to make a deal that benefits both countries but be cool it will all work out,2018-05-13 17:22:00,17:22:00,2018-05-13,0.9743154,0.025684629,-1
66,9.9612e+17,zte the large chinese phone company buys a big percentage of individual parts from us companies this is also reflective of the larger trade deal we are negotiating with china and my personal relationship with president xi,2018-05-14 18:06:00,18:06:00,2018-05-14,0.99977475,0.00022523094,-1
67,9.96368e+17,trade negotiations are continuing with china they have been making hundreds of billions of dollars a year from the us for many years stay tuned,2018-05-15 10:35:00,10:35:00,2018-05-15,0.9994808,0.0005192212,-1
